Query=YOR250C	 Hit=lcl|MAPG_12038T0	" Description=pep:novel supercontig:Mag_poae_ATCC_64411_V1:supercont1.131:15:784:1 gene:MAPG_12038 transcript:MAPG_12038T0 description:""Clp1""-species:Magnaporthe_poae"	 E_value=2e-08
			
Query=YJR093C	 Hit=lcl|CADANGAP00008242	" Description=pep:known chromosome:CADRE:VII:3224139:3225218:1 gene:CADANGAG00008389 transcript:CADANGAT00008389 description:""Putative uncharacterized protein An11g00560""-species:Aspergillus_niger"	 E_value=2e-10
			
Query=YJR093C	 Hit=lcl|EHK24404	" Description=pep:novel supercontig:ASM17099v1:4:649970:651124:1 gene:TRIVIDRAFT_71755 transcript:EHK24404 description:""hypothetical protein""-species:Trichoderma_virens"	 E_value=3e-10
			
Query=YJR093C	 Hit=lcl|EGR52761	" Description=pep:novel supercontig:GCA_000167675.2:GL985056:984964:986253:-1 gene:TRIREDRAFT_119658 transcript:EGR52761 description:""predicted protein""-species:Trichoderma_reesei"	 E_value=3e-10
			
Query=YJR093C	 Hit=lcl|CADAFUBP00007477	" Description=pep:known scaffold:CADRE:DS499599:1329286:1330414:1 gene:CADAFUBG00007613 transcript:CADAFUBT00007613 description:""Cleavage and polyadenylylation specificity factor subunit Fip1, putative""-species:Aspergillus_fumigatus"	 E_value=4e-10
			
Query=YJR093C	 Hit=lcl|CADANIAP00009145	" Description=pep:known chromosome:ASM1142v1:VII:3880166:3881683:-1 gene:CADANIAG00009145 transcript:CADANIAT00009145 description:""cleavage and polyadenylylation specificity factor subunit Fip1, putative (AFU_orthologue\x3b AFUA_6G10690)""-species:Aspergillus_nidulans"	 E_value=5e-10
			
Query=YJR093C	 Hit=lcl|CADAFLAP00004368	" Description=pep:known supercontig:JCVI-afl1-v2.0:EQ963475:563070:564168:-1 gene:CADAFLAG00004368 transcript:CADAFLAT00004368 description:""Cleavage and polyadenylylation specificity factor subunit Fip1 ""-species:Aspergillus_flavus"	 E_value=5e-10
			
Query=YJR093C	 Hit=lcl|CADNFIAP00004532	" Description=pep:known contig:CADRE:9201:2758650:2759782:1 gene:CADNFIAG00004660 transcript:CADNFIAT00004660 description:""Cleavage and polyadenylylation specificity factor subunit Fip1, putative""-species:Neosartorya_fischeri"	 E_value=7e-10
			
Query=YJR093C	 Hit=lcl|CADATEAP00002932	" Description=pep:known supercontig:CADRE:1.17:337970:339014:-1 gene:CADATEAG00002932 transcript:CADATEAT00002932 description:""Putative uncharacterized protein""-species:Aspergillus_terreus"	 E_value=7e-10
			
Query=YJR093C	 Hit=lcl|EFQ33815	" Description=pep:novel supercontig:GCA_000149035.1:GG697373:378757:379995:1 gene:GLRG_08959 transcript:EFQ33815 description:""Fip1 domain-containing protein""-species:Glomerella_graminicola"	 E_value=8e-10
			
Query=YJR093C	 Hit=lcl|MVLG_02407T0	" Description=pep:novel supercontig:GCA_000166175.1:supercont1.18:195267:198829:-1 gene:MVLG_02407 transcript:MVLG_02407T0 description:""hypothetical protein""-species:Microbotryum_violaceum"	 E_value=2e-09
			
Query=YJR093C	 Hit=lcl|FVEG_10351T0	" Description=pep:known chromosome:ASM14955v1:9:2375831:2377318:-1 gene:FVEG_10351 transcript:FVEG_10351T0 description:""conserved hypothetical protein""-species:Gibberella_moniliformis"	 E_value=2e-09
			
Query=YJR093C	 Hit=lcl|UM03179P0	" Description=pep:known supercontig:UM1:Cont_1.108:134737:138906:-1 gene:UM03179 transcript:UM03179T0 description:""hypothetical protein""-species:Ustilago_maydis"	 E_value=7e-09
			
Query=YJR093C	 Hit=lcl|CBQ73536	" Description=pep:novel chromosome:GCA_000230245.1:8:39898:42132:1 gene:sr14192 transcript:CBQ73536 description:""conserved hypothetical protein""-species:Sporisorium_reilianum"	 E_value=7e-09
			
Query=YJR093C	 Hit=lcl|GGTG_03260T0	" Description=pep:known supercontig:Gae_graminis_V2:supercont1.2:2196632:2198194:-1 gene:GGTG_03260 transcript:GGTG_03260T0 description:""hypothetical protein""-species:Gaeumannomyces_graminis"	 E_value=8e-09
			
Query=YJR093C	 Hit=lcl|MGG_14293T0	" Description=pep:known chromosome:MG8:6:3787174:3788841:1 gene:MGG_14293 transcript:MGG_14293T0 description:""Putative uncharacterized protein""-species:Magnaporthe_oryzae"	 E_value=1e-08
			
Query=YJR093C	 Hit=lcl|MAPG_01515T0	" Description=pep:novel supercontig:Mag_poae_ATCC_64411_V1:supercont1.1:4890673:4892213:1 gene:MAPG_01515 transcript:MAPG_01515T0 description:""hypothetical protein""-species:Magnaporthe_poae"	 E_value=1e-08
			
Query=YJR093C	 Hit=lcl|EDU42114	" Description=pep:novel supercontig:GCA_000149985.1:supercont1.10:968376:969440:1 gene:PTRG_09063 transcript:EDU42114 description:""predicted protein""-species:Pyrenophora_triticirepentis"	 E_value=2e-08
			
Query=YJR093C	 Hit=lcl|Mycgr3P110826	" Description=pep:known chromosome:MG2:9:1484039:1485160:1 gene:Mycgr3G110826 transcript:Mycgr3T110826 description:""Putative uncharacterized protein""-species:Zymoseptoria_tritici"	 E_value=6e-08
			
Query=YJR093C	 Hit=lcl|EFP80301	" Description=pep:novel supercontig:ASM14992v1:supercont2.14:549435:553621:-1 gene:PGTG_06257 transcript:EFP80301 description:""hypothetical protein""-species:Puccinia_graminis"	 E_value=6e-08
			
Query=YJR093C	 Hit=lcl|EFQ95954	" Description=pep:novel supercontig:GCA_000166005.1:GL532382:11049:12118:1 gene:PTT_03997 transcript:EFQ95954 description:""hypothetical protein""-species:Pyrenophora_teres"	 E_value=7e-08
			
Query=YJR093C	 Hit=lcl|PTTG_00274P0	" Description=pep:novel supercontig:ASM15152v1:GG705408:588812:592569:1 gene:PTTG_00274 transcript:PTTG_00274T0 description:""Uncharacterized protein""-species:Puccinia_triticina"	 E_value=1e-07
			
Query=YJR093C	 Hit=lcl|EFP76914	" Description=pep:novel supercontig:ASM14992v1:supercont2.5:1452099:1455752:1 gene:PGTG_02375 transcript:EFP76914 description:""hypothetical protein""-species:Puccinia_graminis"	 E_value=3e-07
			
Query=YJR093C	 Hit=lcl|EGG03618	" Description=pep:novel supercontig:GCA_000204055.1:GL883123:614417:615919:1 gene:MELLADRAFT_78533 transcript:EGG03618 description:""hypothetical protein""-species:Melampsora_laricipopulina"	 E_value=1e-06
			
Query=YJR093C	 Hit=lcl|CBX93746	" Description=pep:novel supercontig:ASM23037v1:FP929116:800414:801587:-1 gene:LEMA_P034200.1 transcript:CBX93746 description:""Putative uncharacterized protein ""-species:Leptosphaeria_maculans"	 E_value=5e-06
			
Query=YER133W	 Hit=lcl|EFQ88436	" Description=pep:novel supercontig:GCA_000166005.1:GL536381:26764:28210:-1 gene:PTT_15696 transcript:EFQ88436 description:""hypothetical protein""-species:Pyrenophora_teres"	 E_value=1e-05
			
Query=YER133W	 Hit=lcl|SNOT_06712	" Description=pep:known supercontig:ASM14691v1:supercont1.10:91290:92977:1 gene:SNOG_06712 transcript:SNOT_06712 description:""Serine/threonine-protein phosphatase""-species:Phaeosphaeria_nodorum"	 E_value=1e-05
			
Query=YER133W	 Hit=lcl|EDN98615	" Description=pep:novel supercontig:ASM14694v1:CH476645:268100:269471:-1 gene:SS1G_13474 transcript:EDN98615 description:""conserved hypothetical protein""-species:Sclerotinia_sclerotiorum"	 E_value=1e-06
			
Query=YER133W	 Hit=lcl|Mycgr3P75902	" Description=pep:known chromosome:MG2:9:1875990:1877545:-1 gene:Mycgr3G75902 transcript:Mycgr3T75902 description:""Putative uncharacterized protein""-species:Zymoseptoria_tritici"	 E_value=3e-06
			
Query=YER133W	 Hit=lcl|B0510_9396T1	" Description=pep:novel supercontig:B05.10_v2:Supercontig_1.41:313972:315354:-1 gene:B0510_9396 transcript:B0510_9396T1 description:""""-species:Botryotinia_fuckeliana"	 E_value=1e-06
			
Query=YER133W	 Hit=lcl|EHK15947	" Description=pep:novel supercontig:ASM17099v1:91:489811:491489:-1 gene:TRIVIDRAFT_82688 transcript:EHK15947 description:""hypothetical protein""-species:Trichoderma_virens"	 E_value=9e-08
			
Query=YER133W	 Hit=lcl|FVEG_09543T0	" Description=pep:known chromosome:ASM14955v1:1:301853:303473:1 gene:FVEG_09543 transcript:FVEG_09543T0 description:""Serine/threonine-protein phosphatase""-species:Gibberella_moniliformis"	 E_value=5e-08
			
Query=YER133W	 Hit=lcl|MGG_03911T0	" Description=pep:known chromosome:MG8:6:2614434:2616742:1 gene:MGG_03911 transcript:MGG_03911T0 description:""Serine/threonine-protein phosphatase ppe1""-species:Magnaporthe_oryzae"	 E_value=3e-06
			
Query=YER133W	 Hit=lcl|MAPG_08365T0	" Description=pep:novel supercontig:Mag_poae_ATCC_64411_V1:supercont1.8:10878:13212:-1 gene:MAPG_08365 transcript:MAPG_08365T0 description:""serine/threonine-protein phosphatase ppe1""-species:Magnaporthe_poae"	 E_value=3e-06
			
Query=YER133W	 Hit=lcl|GGTG_04392T0	" Description=pep:known supercontig:Gae_graminis_V2:supercont1.2:5484137:5486790:-1 gene:GGTG_04392 transcript:GGTG_04392T0 description:""serine/threonine-protein phosphatase ppe1""-species:Gaeumannomyces_graminis"	 E_value=7e-06
			
Query=YER133W	 Hit=lcl|EGR48090	" Description=pep:novel supercontig:GCA_000167675.2:GL985066:564354:566114:-1 gene:TRIREDRAFT_48910 transcript:EGR48090 description:""predicted protein""-species:Trichoderma_reesei"	 E_value=9e-08
			
Query=YER133W	 Hit=lcl|FGSG_01464P0	" Description=pep:known chromosome:ASM24013v2:1:4852877:4854246:1 gene:FGSG_01464 transcript:FGSG_01464T0 description:""serine/threonine-protein phosphatase PP1-1""-species:Gibberella_zeae"	 E_value=8e-08
			
Query=YER133W	 Hit=lcl|EFQ35201	" Description=pep:novel supercontig:GCA_000149035.1:GG697389:166816:168168:1 gene:GLRG_10345 transcript:EFQ35201 description:""calcineurin-like phosphoesterase""-species:Glomerella_graminicola"	 E_value=5e-06
			
Query=YER133W	 Hit=lcl|EFNCRP00000002524	" Description=pep:known supercontig:ASM18292v1:7.8:382867:384694:1 gene:EFNCRG00000002521 transcript:EFNCRT00000002524 description:""Serine/threonine protein phosphatase""-species:Neurospora_crassa"	 E_value=8e-07
			
Query=YER133W	 Hit=lcl|CADANIAP00002183	" Description=pep:known chromosome:ASM1142v1:VIII:3291755:3293370:1 gene:CADANIAG00002183 transcript:CADANIAT00002183 description:""SitA protein. Ser/Thr phosphatase. TOR signalling pathway (Eurofung)""-species:Aspergillus_nidulans"	 E_value=3e-06
			
Query=YER133W	 Hit=lcl|CADANGAP00001142	" Description=pep:known chromosome:CADRE:II:3738500:3739836:-1 gene:CADANGAG00001179 transcript:CADANGAT00001179 description:""Serine/threonine-protein phosphatase""-species:Aspergillus_niger"	 E_value=5e-07
			
Query=YER133W	 Hit=lcl|CADAFLAP00004580	" Description=pep:known supercontig:JCVI-afl1-v2.0:EQ963475:1118305:1119645:-1 gene:CADAFLAG00004580 transcript:CADAFLAT00004580 description:""Serine/threonine-protein phosphatase ""-species:Aspergillus_flavus"	 E_value=1e-06
			
Query=YER133W	 Hit=lcl|CADATEAP00005222	" Description=pep:known supercontig:CADRE:1.7:212364:213689:-1 gene:CADATEAG00005222 transcript:CADATEAT00005222 description:""Serine/threonine-protein phosphatase""-species:Aspergillus_terreus"	 E_value=5e-06
			
