species	MGG_00680T0	MGG_01804T0	MGG_05325T0	MGG_06313T0	MGG_06570T0	MGG_06881T0	MGG_07252T0	MGG_08829T0	MGG_09505T0	MGG_09536T0	MGG_09885T0	MGG_10820T0	MGG_14293T0	YAL043C	YDR228C	YGL044C	YJR093C	YKR002W	YLR115W	YLR277C	YNL317W	YOL123W
Ashbya_gossypii	NO	NO	1.00E-009	NO	1.00E-010	3.00E-010	NO	1.00E-010	NO	NO	4.00E-010	2.00E-010	5.00E-010	NO	NO	NO	NO	NO	NO	NO	1.00E-009	1.00E-010
Aspergillus_flavus	NO	NO	1.00E-009	NO	NO	5.00E-010	1.00E-009	1.00E-009	7.00E-010	NO	9.00E-010	NO	NO	NO	NO	1.00E-009	5.00E-010	NO	NO	NO	4.00E-010	1.00E-009
Aspergillus_fumigatus	NO	NO	1.00E-009	NO	NO	1.00E-009	1.00E-009	1.00E-010	7.00E-010	NO	1.00E-009	NO	NO	NO	NO	6.00E-010	4.00E-010	NO	NO	NO	8.00E-010	1.00E-010
Aspergillus_nidulans	NO	NO	3.00E-010	NO	NO	5.00E-010	NO	5.00E-010	1.00E-009	NO	NO	NO	NO	NO	NO	7.00E-010	5.00E-010	NO	1.00E-010	NO	7.00E-010	NO
Aspergillus_niger	NO	2.00E-010	1.00E-009	NO	NO	NO	NO	1.00E-009	1.00E-010	NO	1.00E-010	NO	NO	NO	NO	6.00E-010	2.00E-010	NO	NO	NO	1.00E-009	NO
Aspergillus_terreus	NO	NO	1.00E-009	NO	NO	1.00E-010	NO	1.00E-009	2.00E-010	NO	5.00E-010	NO	NO	NO	NO	4.00E-010	7.00E-010	NO	NO	NO	1.00E-009	2.00E-010
Blumeria_graminis	8.00E-010	NO	8.00E-010	NO	NO	1.00E-009	NO	1.00E-009	NO	NO	NO	NO	NO	1.00E-009	NO	1.00E-009	NO	NO	NO	4.00E-010	6.00E-010	7.00E-010
Botryotinia_fuckeliana	NO	NO	9.00E-010	NO	NO	2.00E-010	4.00E-010	1.00E-009	NO	NO	7.00E-010	NO	NO	NO	NO	NO	NO	NO	NO	NO	2.00E-010	NO
Gaeumannomyces_graminis	NO	NO	1.00E-009	1.00E-009	NO	4.00E-010	NO	1.00E-009	3.00E-010	NO	1.00E-009	NO	NO	NO	6.00E-010	NO	NO	NO	NO	NO	9.00E-010	NO
Gibberella_moniliformis	NO	NO	NO	NO	NO	1.00E-009	NO	8.00E-010	1.00E-010	NO	1.00E-009	NO	NO	NO	NO	NO	NO	NO	1.00E-010	NO	9.00E-010	1.00E-009
Gibberella_zeae	NO	NO	2.00E-010	NO	NO	6.00E-010	NO	1.00E-009	1.00E-009	3.00E-010	2.00E-010	NO	NO	NO	NO	NO	NO	NO	2.00E-010	NO	9.00E-010	7.00E-010
Glomerella_graminicola	NO	NO	1.00E-009	NO	NO	8.00E-010	NO	1.00E-009	1.00E-009	NO	1.00E-009	NO	NO	NO	NO	1.00E-009	8.00E-010	NO	NO	2.00E-010	1.00E-009	NO
Leptosphaeria_maculans	NO	3.00E-010	6.00E-010	NO	NO	NO	NO	1.00E-009	2.00E-010	NO	4.00E-010	NO	5.00E-010	NO	NO	NO	NO	NO	NO	NO	8.00E-010	NO
Magnaporthe_oryzae	NO	NO	6.00E-010	NO	NO	3.00E-010	NO	1.00E-009	1.00E-009	NO	1.00E-009	NO	NO	NO	NO	NO	NO	NO	NO	2.00E-010	4.00E-010	1.00E-009
Magnaporthe_poae	NO	7.00E-010	8.00E-010	NO	3.00E-010	2.00E-010	NO	1.00E-009	8.00E-010	NO	6.00E-010	NO	NO	NO	NO	NO	NO	NO	1.00E-010	1.00E-009	6.00E-010	NO
Melampsora_laricipopulina	NO	NO	4.00E-010	NO	NO	1.00E-010	NO	6.00E-010	1.00E-009	NO	NO	NO	NO	NO	1.00E-010	NO	NO	NO	NO	NO	5.00E-010	NO
Microbotryum_violaceum	NO	NO	1.00E-009	NO	NO	1.00E-009	1.00E-010	8.00E-010	7.00E-010	NO	5.00E-010	NO	NO	NO	NO	NO	NO	NO	NO	3.00E-010	1.00E-009	1.00E-010
Neosartorya_fischeri	NO	NO	2.00E-010	NO	NO	6.00E-010	1.00E-009	7.00E-010	3.00E-010	NO	1.00E-009	NO	NO	4.00E-010	NO	9.00E-010	7.00E-010	NO	NO	NO	1.00E-009	1.00E-010
Neurospora_crassa	NO	NO	6.00E-010	NO	NO	1.00E-009	NO	8.00E-010	4.00E-010	NO	1.00E-010	NO	NO	NO	NO	2.00E-010	NO	4.00E-010	NO	2.00E-010	1.00E-009	NO
Phaeosphaeria_nodorum	NO	2.00E-010	1.00E-009	NO	NO	NO	NO	1.00E-009	1.00E-009	NO	5.00E-010	NO	NO	NO	NO	NO	NO	NO	NO	NO	4.00E-010	2.00E-010
Puccinia_graminis	NO	NO	5.00E-010	NO	NO	1.00E-010	NO	1.00E-009	4.00E-010	NO	2.00E-010	NO	NO	4.00E-010	7.00E-010	NO	NO	NO	NO	NO	9.00E-010	7.00E-010
Puccinia_triticina	NO	NO	3.00E-010	NO	NO	1.00E-009	NO	1.00E-009	8.00E-010	NO	NO	1.00E-009	NO	NO	NO	NO	NO	NO	NO	NO	9.00E-010	1.00E-009
Pyrenophora_teres	NO	NO	8.00E-010	NO	NO	4.00E-010	NO	1.00E-009	3.00E-010	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	6.00E-010	NO
Pyrenophora_triticirepentis	NO	NO	1.00E-009	NO	NO	4.00E-010	NO	1.00E-009	1.00E-010	NO	NO	NO	NO	NO	NO	2.00E-010	NO	NO	NO	NO	1.00E-009	NO
Saccharomyces_cerevisiae	NO	NO	5.00E-010	NO	NO	1.00E-009	NO	6.00E-010	4.00E-010	NO	5.00E-010	NO	NO	NO	NO	3.00E-010	NO	NO	NO	NO	1.00E-009	3.00E-010
Schizosaccharomyces_cryophilus	1.00E-009	NO	8.00E-010	NO	NO	3.00E-010	2.00E-010	3.00E-010	8.00E-010	NO	1.00E-009	NO	NO	NO	NO	NO	NO	NO	NO	NO	1.00E-009	NO
Schizosaccharomyces_japonicus	NO	NO	1.00E-009	NO	NO	NO	4.00E-010	5.00E-010	1.00E-009	NO	7.00E-010	NO	NO	NO	NO	NO	NO	NO	NO	NO	5.00E-010	4.00E-010
Schizosaccharomyces_octosporus	5.00E-010	NO	1.00E-009	NO	NO	NO	1.00E-010	9.00E-010	1.00E-009	NO	6.00E-010	NO	NO	NO	NO	NO	NO	NO	NO	NO	1.00E-009	2.00E-010
Schizosaccharomyces_pombe	NO	NO	1.00E-009	NO	NO	8.00E-010	1.00E-010	1.00E-009	8.00E-010	NO	9.00E-010	NO	NO	NO	NO	NO	NO	NO	5.00E-010	NO	5.00E-010	6.00E-010
Sclerotinia_sclerotiorum	NO	NO	NO	NO	NO	2.00E-010	1.00E-009	4.00E-010	NO	NO	1.00E-009	NO	NO	NO	NO	1.00E-009	NO	NO	NO	NO	1.00E-009	2.00E-010
Sporisorium_reilianum	NO	NO	1.00E-009	NO	NO	4.00E-010	NO	2.00E-010	2.00E-010	NO	NO	NO	NO	NO	5.00E-010	NO	NO	NO	NO	NO	1.00E-009	5.00E-010
Trichoderma_reesei	NO	NO	6.00E-010	NO	NO	1.00E-009	NO	1.00E-009	1.00E-009	NO	NO	NO	NO	1.00E-009	NO	NO	3.00E-010	NO	2.00E-010	NO	1.00E-009	2.00E-010
Trichoderma_virens	NO	NO	2.00E-010	NO	NO	1.00E-009	NO	1.00E-009	8.00E-010	NO	NO	NO	NO	NO	NO	1.00E-010	3.00E-010	NO	NO	4.00E-010	9.00E-010	3.00E-010
Tuber_melanosporum	NO	NO	5.00E-010	NO	NO	6.00E-010	NO	1.00E-009	1.00E-010	NO	2.00E-010	NO	NO	7.00E-010	NO	1.00E-009	NO	NO	NO	NO	1.00E-009	3.00E-010
Ustilago_maydis	NO	NO	1.00E-009	NO	NO	1.00E-009	NO	6.00E-010	3.00E-010	NO	NO	NO	NO	NO	1.00E-009	2.00E-010	NO	NO	NO	NO	4.00E-010	8.00E-010
Verticillium_dahliae	NO	NO	8.00E-010	NO	NO	1.00E-010	NO	3.00E-010	1.00E-010	NO	2.00E-010	NO	NO	NO	NO	1.00E-009	NO	NO	NO	NO	1.00E-009	4.00E-010
Yarrowia_lipolytica	NO	NO	1.00E-009	NO	NO	2.00E-010	NO	5.00E-010	1.00E-009	NO	1.00E-009	NO	NO	NO	NO	NO	NO	NO	NO	NO	1.00E-009	NO
Zymoseptoria_tritici	NO	NO	6.00E-010	NO	NO	6.00E-010	NO	2.00E-010	1.00E-009	NO	1.00E-010	NO	NO	NO	NO	3.00E-010	NO	NO	NO	NO	8.00E-010	NO
